SMW,Max.,Min.,Morning,Evening,Rainfall (mm),Rainy days,PAN Evaporation
1,23.7,11.1,83,68,0,0,2.73
2,23.7,10.7,85,52,0,0,2.86
3,23.1,9.4,82,44,0,0,2.85
4,25.1,9.6,84,45,0,0,3.35
5,27.8,14.7,83,49.4,0,0,3.04
6,26.7,13.3,80,47,5,1,3.3
7,25.1,12.6,88,58,0,0,3.48
8,28.8,12.8,81,42,0,0,4.04
9,28.5,13.7,78,41,0,0,4.66
10,29.6,12.4,75,41,0,0,5.09
11,32.1,15.8,81,30,0,0,5.59
12,35.8,17.7,66,23,0,0,6.96
13,37.4,17.4,59,20,0,0,7.82
14,39.4,18.6,39,13,0,0,8.94
15,39.5,21.1,36,21,0,0,9.19
16,39,24,47,19,0,0,8.94
17,40.1,24.1,28,12,3.2,1,10.74
18,42.4,26.4,35,11,0,0,11.86
19,40.7,26.4,45,24,8.8,2,9.93
20,40.3,27,53,24,1.8,1,12.47
21,40.1,27.8,56,25,0,0,13.28
22,40.7,27.4,61.9,30,3.2,1,12.52
23,42,30.4,52.4,31.4,0,0,14.5
24,37.6,27.3,73.8,44.6,33.8,2,6.74
25,36.4,26.7,79.1,53.1,34.2,3,7.12
26,32.3,25.8,89.3,67.6,57.8,5,3.13
27,27.8,24.6,91.4,82.4,343,7,1.45
